season_label,season_type,game_id,game_date,home_team,away_team,event_ticker,ticker,market_type,category,sub_category,title,subtitle,yes_sub_title,no_sub_title,status
2024-25,Playoffs,0042400306,2025-05-31,IND,NYK,KXNBAGAME-25MAY31NYKIND,KXNBAGAME-25MAY31NYKIND-NYK,binary,,,New York vs Indiana Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400306,2025-05-31,IND,NYK,KXNBAGAME-25MAY31NYKIND,KXNBAGAME-25MAY31NYKIND-IND,binary,,,New York vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400401,2025-06-05,OKC,IND,KXNBAGAME-25JUN05INDOKC,KXNBAGAME-25JUN05INDOKC-OKC,binary,,,Indiana vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400401,2025-06-05,OKC,IND,KXNBAGAME-25JUN05INDOKC,KXNBAGAME-25JUN05INDOKC-IND,binary,,,Indiana vs Oklahoma City Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400402,2025-06-08,OKC,IND,KXNBAGAME-25JUN08INDOKC,KXNBAGAME-25JUN08INDOKC-OKC,binary,,,Indiana vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400402,2025-06-08,OKC,IND,KXNBAGAME-25JUN08INDOKC,KXNBAGAME-25JUN08INDOKC-IND,binary,,,Indiana vs Oklahoma City Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400403,2025-06-11,IND,OKC,KXNBAGAME-25JUN11OKCIND,KXNBAGAME-25JUN11OKCIND-OKC,binary,,,Oklahoma City vs Indiana Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400403,2025-06-11,IND,OKC,KXNBAGAME-25JUN11OKCIND,KXNBAGAME-25JUN11OKCIND-IND,binary,,,Oklahoma City vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400404,2025-06-13,IND,OKC,KXNBAGAME-25JUN13OKCIND,KXNBAGAME-25JUN13OKCIND-OKC,binary,,,Oklahoma City vs Indiana Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400404,2025-06-13,IND,OKC,KXNBAGAME-25JUN13OKCIND,KXNBAGAME-25JUN13OKCIND-IND,binary,,,Oklahoma City vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400405,2025-06-16,OKC,IND,KXNBAGAME-25JUN16INDOKC,KXNBAGAME-25JUN16INDOKC-OKC,binary,,,Indiana vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400405,2025-06-16,OKC,IND,KXNBAGAME-25JUN16INDOKC,KXNBAGAME-25JUN16INDOKC-IND,binary,,,Indiana vs Oklahoma City Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400406,2025-06-19,IND,OKC,KXNBAGAME-25JUN19OKCIND,KXNBAGAME-25JUN19OKCIND-IND,binary,,,Oklahoma City vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400406,2025-06-19,IND,OKC,KXNBAGAME-25JUN19OKCIND,KXNBAGAME-25JUN19OKCIND-OKC,binary,,,Oklahoma City vs Indiana Winner?,,Oklahoma City,Oklahoma City,finalized
