event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25NOV06LACPHX,KXNBAGAME,LA vs Phoenix,LAC at PHX (Nov 6),,2025-11-06,LAC,PHX
KXNBAGAME-25NOV05SASLAL,KXNBAGAME,San Antonio vs Los Angeles L,SAS at LAL (Nov 5),,2025-11-05,SAS,LAL
KXNBAGAME-25NOV05OKCPOR,KXNBAGAME,Oklahoma City vs Portland,OKC at POR (Nov 5),,2025-11-05,OKC,POR
KXNBAGAME-25NOV05GSWSAC,KXNBAGAME,Golden State vs Sacramento,GSW at SAC (Nov 5),,2025-11-05,GSW,SAC
KXNBAGAME-25NOV05MIADEN,KXNBAGAME,Miami vs Denver,MIA at DEN (Nov 5),,2025-11-05,MIA,DEN
KXNBAGAME-25NOV05NOPDAL,KXNBAGAME,New Orleans vs Dallas,NOP at DAL (Nov 5),,2025-11-05,NOP,DAL
KXNBAGAME-25NOV05HOUMEM,KXNBAGAME,Houston vs Memphis,HOU at MEM (Nov 5),,2025-11-05,HOU,MEM
KXNBAGAME-25NOV05WASBOS,KXNBAGAME,Washington vs Boston,WAS at BOS (Nov 5),,2025-11-05,WAS,BOS
KXNBAGAME-25NOV05MINNYK,KXNBAGAME,Minnesota vs New York K,MIN at NYK (Nov 5),,2025-11-05,MIN,NYK
KXNBAGAME-25NOV05UTADET,KXNBAGAME,Utah vs Detroit,UTA at DET (Nov 5),,2025-11-05,UTA,DET
KXNBAGAME-25NOV05PHICLE,KXNBAGAME,Philadelphia vs Cleveland,PHI at CLE (Nov 5),,2025-11-05,PHI,CLE
KXNBAGAME-25NOV05BKNIND,KXNBAGAME,Brooklyn vs Indiana,BKN at IND (Nov 5),,2025-11-05,BKN,IND
KXNBAGAME-25NOV04OKCLAC,KXNBAGAME,Oklahoma City vs Los Angeles C,OKC at LAC (Nov 4),,2025-11-04,OKC,LAC
KXNBAGAME-25NOV04PHXGSW,KXNBAGAME,Phoenix vs Golden State,PHX at GSW (Nov 4),,2025-11-04,PHX,GSW
KXNBAGAME-25NOV04PHICHI,KXNBAGAME,Philadelphia vs Chicago,PHI at CHI (Nov 4),,2025-11-04,PHI,CHI
KXNBAGAME-25NOV04ORLATL,KXNBAGAME,Orlando vs Atlanta,ORL at ATL (Nov 4),,2025-11-04,ORL,ATL
KXNBAGAME-25NOV04CHANOP,KXNBAGAME,Charlotte vs New Orleans,CHA at NOP (Nov 4),,2025-11-04,CHA,NOP
KXNBAGAME-25NOV04MILTOR,KXNBAGAME,Milwaukee vs Toronto,MIL at TOR (Nov 4),,2025-11-04,MIL,TOR
KXNBAGAME-25NOV03MIALAC,KXNBAGAME,Miami vs LA,MIA at LAC (Nov 3),,2025-11-03,MIA,LAC
KXNBAGAME-25NOV03LALPOR,KXNBAGAME,Los Angeles vs Portland,LAL at POR (Nov 3),,2025-11-03,LAL,POR
KXNBAGAME-25NOV03SACDEN,KXNBAGAME,Sacramento vs Denver,SAC at DEN (Nov 3),,2025-11-03,SAC,DEN
KXNBAGAME-25NOV03DETMEM,KXNBAGAME,Detroit vs Memphis,DET at MEM (Nov 3),,2025-11-03,DET,MEM
KXNBAGAME-25NOV03DALHOU,KXNBAGAME,Dallas vs Houston,DAL at HOU (Nov 3),,2025-11-03,DAL,HOU
KXNBAGAME-25NOV03WASNYK,KXNBAGAME,Washington vs New York K,WAS at NYK (Nov 3),,2025-11-03,WAS,NYK
KXNBAGAME-25NOV03UTABOS,KXNBAGAME,Utah vs Boston,UTA at BOS (Nov 3),,2025-11-03,UTA,BOS
