GAME_ID,GAME_DATE,HOME_TEAM_ABBREV,AWAY_TEAM_ABBREV,SEASON_TYPE,event_ticker,title,sub_title,status
0022500113,2025-10-26,SAC,LAL,Regular Season,KXNBAGAME-25OCT26LALSAC,Los Angeles L vs Sacramento,LAL at SAC (Oct 26),
0022500007,2025-10-27,DET,CLE,Regular Season,KXNBAGAME-25OCT27CLEDET,Cleveland vs Detroit,CLE at DET (Oct 27),
0022500008,2025-10-27,MIN,DEN,Regular Season,KXNBAGAME-25OCT27DENMIN,Denver vs Minnesota,DEN at MIN (Oct 27),
0022500114,2025-10-27,PHI,ORL,Regular Season,KXNBAGAME-25OCT27ORLPHI,Orlando vs Philadelphia,ORL at PHI (Oct 27),
0022500115,2025-10-27,CHI,ATL,Regular Season,KXNBAGAME-25OCT27ATLCHI,Atlanta vs Chicago,ATL at CHI (Oct 27),
0022500116,2025-10-27,HOU,BKN,Regular Season,KXNBAGAME-25OCT27BKNHOU,Brooklyn vs Houston,BKN at HOU (Oct 27),
0022500117,2025-10-27,NOP,BOS,Regular Season,KXNBAGAME-25OCT27BOSNOP,Boston vs New Orleans,BOS at NOP (Oct 27),
0022500118,2025-10-27,SAS,TOR,Regular Season,KXNBAGAME-25OCT27TORSAS,Toronto vs San Antonio,TOR at SAS (Oct 27),
0022500119,2025-10-27,DAL,OKC,Regular Season,KXNBAGAME-25OCT27OKCDAL,Oklahoma City vs Dallas,OKC at DAL (Oct 27),
0022500120,2025-10-27,UTA,PHX,Regular Season,KXNBAGAME-25OCT27PHXUTA,Phoenix vs Utah,PHX at UTA (Oct 27),
0022500121,2025-10-27,GSW,MEM,Regular Season,KXNBAGAME-25OCT27MEMGSW,Memphis vs Golden State,MEM at GSW (Oct 27),
0022500122,2025-10-27,LAL,POR,Regular Season,KXNBAGAME-25OCT27PORLAL,Portland vs Los Angeles L,POR at LAL (Oct 27),
0022500123,2025-10-28,WAS,PHI,Regular Season,KXNBAGAME-25OCT28PHIWAS,Philadelphia vs Washington,PHI at WAS (Oct 28),
0022500124,2025-10-28,MIA,CHA,Regular Season,KXNBAGAME-25OCT28CHAMIA,Charlotte vs Miami,CHA at MIA (Oct 28),
0022500125,2025-10-28,MIL,NYK,Regular Season,KXNBAGAME-25OCT28NYKMIL,New York vs Milwaukee,NYK at MIL (Oct 28),
0022500126,2025-10-28,OKC,SAC,Regular Season,KXNBAGAME-25OCT28SACOKC,Sacramento vs Oklahoma City,SAC at OKC (Oct 28),
0022500127,2025-10-28,GSW,LAC,Regular Season,KXNBAGAME-25OCT28LACGSW,Los Angeles C vs Golden State,LAC at GSW (Oct 28),
0022500128,2025-10-29,BOS,CLE,Regular Season,KXNBAGAME-25OCT29CLEBOS,Cleveland vs Boston,CLE at BOS (Oct 29),
0022500129,2025-10-29,DET,ORL,Regular Season,KXNBAGAME-25OCT29ORLDET,Orlando vs Detroit,ORL at DET (Oct 29),
0022500130,2025-10-29,BKN,ATL,Regular Season,KXNBAGAME-25OCT29ATLBKN,Atlanta vs Brooklyn,ATL at BKN (Oct 29),
0022500131,2025-10-29,TOR,HOU,Regular Season,KXNBAGAME-25OCT29HOUTOR,Houston vs Toronto,HOU at TOR (Oct 29),
0022500132,2025-10-29,CHI,SAC,Regular Season,KXNBAGAME-25OCT29SACCHI,Sacramento vs Chicago,SAC at CHI (Oct 29),
0022500133,2025-10-29,DAL,IND,Regular Season,KXNBAGAME-25OCT29INDDAL,Indiana vs Dallas,IND at DAL (Oct 29),
0022500134,2025-10-29,DEN,NOP,Regular Season,KXNBAGAME-25OCT29NOPDEN,New Orleans vs Denver,NOP at DEN (Oct 29),
0022500135,2025-10-29,UTA,POR,Regular Season,KXNBAGAME-25OCT29PORUTA,Portland vs Utah,POR at UTA (Oct 29),
0022500136,2025-10-29,MIN,LAL,Regular Season,KXNBAGAME-25OCT29LALMIN,Los Angeles L vs Minnesota,LAL at MIN (Oct 29),
0022500137,2025-10-29,PHX,MEM,Regular Season,KXNBAGAME-25OCT29MEMPHX,Memphis vs Phoenix,MEM at PHX (Oct 29),
0022500138,2025-10-30,CHA,ORL,Regular Season,KXNBAGAME-25OCT30ORLCHA,Orlando vs Charlotte,ORL at CHA (Oct 30),
0022500139,2025-10-30,MIL,GSW,Regular Season,KXNBAGAME-25OCT30GSWMIL,Golden State vs Milwaukee,GSW at MIL (Oct 30),
0022500140,2025-10-30,OKC,WAS,Regular Season,KXNBAGAME-25OCT30WASOKC,Washington vs Oklahoma City,WAS at OKC (Oct 30),
0022500141,2025-10-30,SAS,MIA,Regular Season,KXNBAGAME-25OCT30MIASAS,Miami vs San Antonio,MIA at SAS (Oct 30),
0022500020,2025-10-31,IND,ATL,Regular Season,KXNBAGAME-25OCT31ATLIND,Atlanta vs Indiana,ATL at IND (Oct 31),
0022500021,2025-10-31,PHI,BOS,Regular Season,KXNBAGAME-25OCT31BOSPHI,Boston vs Philadelphia,BOS at PHI (Oct 31),
0022500022,2025-10-31,CLE,TOR,Regular Season,KXNBAGAME-25OCT31TORCLE,Toronto vs Cleveland,TOR at CLE (Oct 31),
0022500023,2025-10-31,CHI,NYK,Regular Season,KXNBAGAME-25OCT31NYKCHI,New York vs Chicago,NYK at CHI (Oct 31),
0022500024,2025-10-31,MEM,LAL,Regular Season,KXNBAGAME-25OCT31LALMEM,Los Angeles L vs Memphis,LAL at MEM (Oct 31),
0022500025,2025-10-31,PHX,UTA,Regular Season,KXNBAGAME-25OCT31UTAPHX,Utah vs Phoenix,UTA at PHX (Oct 31),
0022500026,2025-10-31,POR,DEN,Regular Season,KXNBAGAME-25OCT31DENPOR,Denver vs Portland,DEN at POR (Oct 31),
0022500027,2025-10-31,LAC,NOP,Regular Season,KXNBAGAME-25OCT31NOPLAC,New Orleans vs Los Angeles C,NOP at LAC (Oct 31),
0022500142,2025-11-01,MIL,SAC,Regular Season,KXNBAGAME-25NOV01SACMIL,Sacramento vs Milwaukee,SAC at MIL (Nov 1),
0022500143,2025-11-01,CHA,MIN,Regular Season,KXNBAGAME-25NOV01MINCHA,Minnesota vs Charlotte,MIN at CHA (Nov 1),
0022500144,2025-11-01,IND,GSW,Regular Season,KXNBAGAME-25NOV01GSWIND,Golden State vs Indiana,GSW at IND (Nov 1),
0022500145,2025-11-01,WAS,ORL,Regular Season,KXNBAGAME-25NOV01ORLWAS,Orlando vs Washington,ORL at WAS (Nov 1),
0022500146,2025-11-01,BOS,HOU,Regular Season,KXNBAGAME-25NOV01HOUBOS,Houston vs Boston,HOU at BOS (Nov 1),
0022500148,2025-11-02,OKC,NOP,Regular Season,KXNBAGAME-25NOV02NOPOKC,New Orleans vs Oklahoma City,NOP at OKC (Nov 2),
0022500149,2025-11-02,BKN,PHI,Regular Season,KXNBAGAME-25NOV02PHIBKN,Philadelphia vs Brooklyn,PHI at BKN (Nov 2),
0022500150,2025-11-02,CHA,UTA,Regular Season,KXNBAGAME-25NOV02UTACHA,Utah vs Charlotte,UTA at CHA (Nov 2),
0022500151,2025-11-02,CLE,ATL,Regular Season,KXNBAGAME-25NOV02ATLCLE,Atlanta vs Cleveland,ATL at CLE (Nov 2),
0022500152,2025-11-02,TOR,MEM,Regular Season,KXNBAGAME-25NOV02MEMTOR,Memphis vs Toronto,MEM at TOR (Nov 2),
0022500153,2025-11-02,NYK,CHI,Regular Season,KXNBAGAME-25NOV02CHINYK,Chicago vs New York K,CHI at NYK (Nov 2),
0022500154,2025-11-02,PHX,SAS,Regular Season,KXNBAGAME-25NOV02SASPHX,San Antonio vs Phoenix,SAS at PHX (Nov 2),
0022500155,2025-11-02,LAL,MIA,Regular Season,KXNBAGAME-25NOV02MIALAL,Miami vs Los Angeles,MIA at LAL (Nov 2),
0022500156,2025-11-03,BKN,MIN,Regular Season,KXNBAGAME-25NOV03MINBKN,Minnesota vs Brooklyn,MIN at BKN (Nov 3),
0022500157,2025-11-03,IND,MIL,Regular Season,KXNBAGAME-25NOV03MILIND,Milwaukee vs Indiana,MIL at IND (Nov 3),
0022500158,2025-11-03,BOS,UTA,Regular Season,KXNBAGAME-25NOV03UTABOS,Utah vs Boston,UTA at BOS (Nov 3),
0022500159,2025-11-03,NYK,WAS,Regular Season,KXNBAGAME-25NOV03WASNYK,Washington vs New York K,WAS at NYK (Nov 3),
0022500160,2025-11-03,HOU,DAL,Regular Season,KXNBAGAME-25NOV03DALHOU,Dallas vs Houston,DAL at HOU (Nov 3),
0022500161,2025-11-03,MEM,DET,Regular Season,KXNBAGAME-25NOV03DETMEM,Detroit vs Memphis,DET at MEM (Nov 3),
0022500162,2025-11-03,DEN,SAC,Regular Season,KXNBAGAME-25NOV03SACDEN,Sacramento vs Denver,SAC at DEN (Nov 3),
0022500163,2025-11-03,POR,LAL,Regular Season,KXNBAGAME-25NOV03LALPOR,Los Angeles vs Portland,LAL at POR (Nov 3),
0022500164,2025-11-03,LAC,MIA,Regular Season,KXNBAGAME-25NOV03MIALAC,Miami vs LA,MIA at LAC (Nov 3),
0022500165,2025-11-04,TOR,MIL,Regular Season,KXNBAGAME-25NOV04MILTOR,Milwaukee vs Toronto,MIL at TOR (Nov 4),
0022500166,2025-11-04,ATL,ORL,Regular Season,KXNBAGAME-25NOV04ORLATL,Orlando vs Atlanta,ORL at ATL (Nov 4),
0022500167,2025-11-04,CHI,PHI,Regular Season,KXNBAGAME-25NOV04PHICHI,Philadelphia vs Chicago,PHI at CHI (Nov 4),
0022500168,2025-11-04,NOP,CHA,Regular Season,KXNBAGAME-25NOV04CHANOP,Charlotte vs New Orleans,CHA at NOP (Nov 4),
0022500169,2025-11-04,GSW,PHX,Regular Season,KXNBAGAME-25NOV04PHXGSW,Phoenix vs Golden State,PHX at GSW (Nov 4),
0022500170,2025-11-04,LAC,OKC,Regular Season,KXNBAGAME-25NOV04OKCLAC,Oklahoma City vs Los Angeles C,OKC at LAC (Nov 4),
0022500171,2025-11-05,CLE,PHI,Regular Season,KXNBAGAME-25NOV05PHICLE,Philadelphia vs Cleveland,PHI at CLE (Nov 5),
0022500172,2025-11-05,DET,UTA,Regular Season,KXNBAGAME-25NOV05UTADET,Utah vs Detroit,UTA at DET (Nov 5),
0022500173,2025-11-05,IND,BKN,Regular Season,KXNBAGAME-25NOV05BKNIND,Brooklyn vs Indiana,BKN at IND (Nov 5),
0022500174,2025-11-05,BOS,WAS,Regular Season,KXNBAGAME-25NOV05WASBOS,Washington vs Boston,WAS at BOS (Nov 5),
0022500175,2025-11-05,NYK,MIN,Regular Season,KXNBAGAME-25NOV05MINNYK,Minnesota vs New York K,MIN at NYK (Nov 5),
0022500176,2025-11-05,MEM,HOU,Regular Season,KXNBAGAME-25NOV05HOUMEM,Houston vs Memphis,HOU at MEM (Nov 5),
0022500177,2025-11-05,DAL,NOP,Regular Season,KXNBAGAME-25NOV05NOPDAL,New Orleans vs Dallas,NOP at DAL (Nov 5),
0022500178,2025-11-05,DEN,MIA,Regular Season,KXNBAGAME-25NOV05MIADEN,Miami vs Denver,MIA at DEN (Nov 5),
0022500179,2025-11-05,LAL,SAS,Regular Season,KXNBAGAME-25NOV05SASLAL,San Antonio vs Los Angeles L,SAS at LAL (Nov 5),
0022500180,2025-11-05,POR,OKC,Regular Season,KXNBAGAME-25NOV05OKCPOR,Oklahoma City vs Portland,OKC at POR (Nov 5),
0022500181,2025-11-05,SAC,GSW,Regular Season,KXNBAGAME-25NOV05GSWSAC,Golden State vs Sacramento,GSW at SAC (Nov 5),
0022500182,2025-11-06,PHX,LAC,Regular Season,KXNBAGAME-25NOV06LACPHX,LA vs Phoenix,LAC at PHX (Nov 6),
0022500028,2025-11-07,ORL,BOS,Regular Season,KXNBAGAME-25NOV07BOSORL,Boston vs Orlando,BOS at ORL (Nov 7),
0022500029,2025-11-07,WAS,CLE,Regular Season,KXNBAGAME-25NOV07CLEWAS,Cleveland vs Washington,CLE at WAS (Nov 7),
0022500030,2025-11-07,ATL,TOR,Regular Season,KXNBAGAME-25NOV07TORATL,Toronto vs Atlanta,TOR at ATL (Nov 7),
0022500031,2025-11-07,BKN,DET,Regular Season,KXNBAGAME-25NOV07DETBKN,Detroit vs Brooklyn,DET at BKN (Nov 7),
0022500032,2025-11-07,SAS,HOU,Regular Season,KXNBAGAME-25NOV07HOUSAS,Houston vs San Antonio,HOU at SAS (Nov 7),
0022500033,2025-11-07,MIA,CHA,Regular Season,KXNBAGAME-25NOV07CHAMIA,Charlotte vs Miami,CHA at MIA (Nov 7),
0022500034,2025-11-07,MEM,DAL,Regular Season,KXNBAGAME-25NOV07DALMEM,Dallas vs Memphis,DAL at MEM (Nov 7),
0022500035,2025-11-07,MIL,CHI,Regular Season,KXNBAGAME-25NOV07CHIMIL,Chicago vs Milwaukee,CHI at MIL (Nov 7),
0022500036,2025-11-07,MIN,UTA,Regular Season,KXNBAGAME-25NOV07UTAMIN,Utah vs Minnesota,UTA at MIN (Nov 7),
0022500037,2025-11-07,DEN,GSW,Regular Season,KXNBAGAME-25NOV07GSWDEN,Golden State vs Denver,GSW at DEN (Nov 7),
0022500038,2025-11-07,SAC,OKC,Regular Season,KXNBAGAME-25NOV07OKCSAC,Oklahoma City vs Sacramento,OKC at SAC (Nov 7),
0022500183,2025-11-08,WAS,DAL,Regular Season,KXNBAGAME-25NOV08DALWAS,Dallas vs Washington,DAL at WAS (Nov 8),
0022500184,2025-11-08,PHI,TOR,Regular Season,KXNBAGAME-25NOV08TORPHI,Toronto vs Philadelphia,TOR at PHI (Nov 8),
0022500185,2025-11-08,ATL,LAL,Regular Season,KXNBAGAME-25NOV08LALATL,Los Angeles L vs Atlanta,LAL at ATL (Nov 8),
0022500186,2025-11-08,CLE,CHI,Regular Season,KXNBAGAME-25NOV08CHICLE,Chicago vs Cleveland,CHI at CLE (Nov 8),
0022500187,2025-11-08,MIA,POR,Regular Season,KXNBAGAME-25NOV08PORMIA,Portland vs Miami,POR at MIA (Nov 8),
0022500188,2025-11-08,SAS,NOP,Regular Season,KXNBAGAME-25NOV08NOPSAS,New Orleans vs San Antonio,NOP at SAS (Nov 8),
0022500189,2025-11-08,DEN,IND,Regular Season,KXNBAGAME-25NOV08INDDEN,Indiana vs Denver,IND at DEN (Nov 8),
0022500190,2025-11-08,LAC,PHX,Regular Season,KXNBAGAME-25NOV08PHXLAC,Phoenix vs Los Angeles C,PHX at LAC (Nov 8),
0022500191,2025-11-09,MIL,HOU,Regular Season,KXNBAGAME-25NOV09HOUMIL,Houston vs Milwaukee,HOU at MIL (Nov 9),
0022500192,2025-11-09,NYK,BKN,Regular Season,KXNBAGAME-25NOV09BKNNYK,Brooklyn vs New York K,BKN at NYK (Nov 9),
0022500193,2025-11-09,ORL,BOS,Regular Season,KXNBAGAME-25NOV09BOSORL,Boston vs Orlando,BOS at ORL (Nov 9),
0022500194,2025-11-09,MEM,OKC,Regular Season,KXNBAGAME-25NOV09OKCMEM,Oklahoma City vs Memphis,OKC at MEM (Nov 9),
0022500195,2025-11-09,PHI,DET,Regular Season,KXNBAGAME-25NOV09DETPHI,Detroit vs Philadelphia,DET at PHI (Nov 9),
0022500196,2025-11-09,GSW,IND,Regular Season,KXNBAGAME-25NOV09INDGSW,Indiana vs Golden State,IND at GSW (Nov 9),
0022500197,2025-11-09,SAC,MIN,Regular Season,KXNBAGAME-25NOV09MINSAC,Minnesota vs Sacramento,MIN at SAC (Nov 9),
0022500198,2025-11-10,CHA,LAL,Regular Season,KXNBAGAME-25NOV10LALCHA,Los Angeles L vs Charlotte,LAL at CHA (Nov 10),
0022500199,2025-11-10,DET,WAS,Regular Season,KXNBAGAME-25NOV10WASDET,Washington vs Detroit,WAS at DET (Nov 10),
0022500200,2025-11-10,ORL,POR,Regular Season,KXNBAGAME-25NOV10PORORL,Portland vs Orlando,POR at ORL (Nov 10),
0022500201,2025-11-10,MIA,CLE,Regular Season,KXNBAGAME-25NOV10CLEMIA,Cleveland vs Miami,CLE at MIA (Nov 10),
0022500202,2025-11-10,CHI,SAS,Regular Season,KXNBAGAME-25NOV10SASCHI,San Antonio vs Chicago,SAS at CHI (Nov 10),
0022500203,2025-11-10,DAL,MIL,Regular Season,KXNBAGAME-25NOV10MILDAL,Milwaukee vs Dallas,MIL at DAL (Nov 10),
0022500204,2025-11-10,PHX,NOP,Regular Season,KXNBAGAME-25NOV10NOPPHX,New Orleans vs Phoenix,NOP at PHX (Nov 10),
0022500205,2025-11-10,UTA,MIN,Regular Season,KXNBAGAME-25NOV10MINUTA,Minnesota vs Utah,MIN at UTA (Nov 10),
0022500206,2025-11-10,LAC,ATL,Regular Season,KXNBAGAME-25NOV10ATLLAC,Atlanta vs Los Angeles C,ATL at LAC (Nov 10),
0022500207,2025-11-11,BKN,TOR,Regular Season,KXNBAGAME-25NOV11TORBKN,Toronto vs Brooklyn,TOR at BKN (Nov 11),
0022500208,2025-11-11,NYK,MEM,Regular Season,KXNBAGAME-25NOV11MEMNYK,Memphis vs New York K,MEM at NYK (Nov 11),
0022500209,2025-11-11,PHI,BOS,Regular Season,KXNBAGAME-25NOV11BOSPHI,Boston vs Philadelphia,BOS at PHI (Nov 11),
0022500210,2025-11-11,OKC,GSW,Regular Season,KXNBAGAME-25NOV11GSWOKC,Golden State vs Oklahoma City,GSW at OKC (Nov 11),
0022500211,2025-11-11,UTA,IND,Regular Season,KXNBAGAME-25NOV11INDUTA,Indiana vs Utah,IND at UTA (Nov 11),
0022500212,2025-11-11,SAC,DEN,Regular Season,KXNBAGAME-25NOV11DENSAC,Denver vs Sacramento,DEN at SAC (Nov 11),
0022500213,2025-11-12,CHA,MIL,Regular Season,KXNBAGAME-25NOV12MILCHA,Milwaukee vs Charlotte,MIL at CHA (Nov 12),
0022500214,2025-11-12,DET,CHI,Regular Season,KXNBAGAME-25NOV12CHIDET,Chicago vs Detroit,CHI at DET (Nov 12),
0022500215,2025-11-12,NYK,ORL,Regular Season,KXNBAGAME-25NOV12ORLNYK,Orlando vs New York K,ORL at NYK (Nov 12),
0022500216,2025-11-12,BOS,MEM,Regular Season,KXNBAGAME-25NOV12MEMBOS,Memphis vs Boston,MEM at BOS (Nov 12),
0022500217,2025-11-12,MIA,CLE,Regular Season,KXNBAGAME-25NOV12CLEMIA,Cleveland vs Miami,CLE at MIA (Nov 12),
0022500218,2025-11-12,HOU,WAS,Regular Season,KXNBAGAME-25NOV12WASHOU,Washington vs Houston,WAS at HOU (Nov 12),
0022500219,2025-11-12,NOP,POR,Regular Season,KXNBAGAME-25NOV12PORNOP,Portland vs New Orleans,POR at NOP (Nov 12),
0022500220,2025-11-12,SAS,GSW,Regular Season,KXNBAGAME-25NOV12GSWSAS,Golden State vs San Antonio,GSW at SAS (Nov 12),
0022500221,2025-11-12,DAL,PHX,Regular Season,KXNBAGAME-25NOV12PHXDAL,Phoenix vs Dallas,PHX at DAL (Nov 12),
0022500222,2025-11-12,OKC,LAL,Regular Season,KXNBAGAME-25NOV12LALOKC,Los Angeles L vs Oklahoma City,LAL at OKC (Nov 12),
0022500223,2025-11-12,SAC,ATL,Regular Season,KXNBAGAME-25NOV12ATLSAC,Atlanta vs Sacramento,ATL at SAC (Nov 12),
0022500224,2025-11-12,LAC,DEN,Regular Season,KXNBAGAME-25NOV12DENLAC,Denver vs Los Angeles C,DEN at LAC (Nov 12),
0022500225,2025-11-13,CLE,TOR,Regular Season,KXNBAGAME-25NOV13TORCLE,Toronto vs Cleveland,TOR at CLE (Nov 13),
0022500226,2025-11-13,PHX,IND,Regular Season,KXNBAGAME-25NOV13INDPHX,Indiana vs Phoenix,IND at PHX (Nov 13),
0022500227,2025-11-13,UTA,ATL,Regular Season,KXNBAGAME-25NOV13ATLUTA,Atlanta vs Utah,ATL at UTA (Nov 13),
0022500039,2025-11-14,NYK,MIA,Regular Season,KXNBAGAME-25NOV14MIANYK,Miami vs New York K,MIA at NYK (Nov 14),
0022500040,2025-11-14,ORL,BKN,Regular Season,KXNBAGAME-25NOV14BKNORL,Brooklyn vs Orlando,BKN at ORL (Nov 14),
0022500041,2025-11-14,DET,PHI,Regular Season,KXNBAGAME-25NOV14PHIDET,Philadelphia vs Detroit,PHI at DET (Nov 14),
0022500042,2025-11-14,HOU,POR,Regular Season,KXNBAGAME-25NOV14PORHOU,Portland vs Houston,POR at HOU (Nov 14),
0022500043,2025-11-14,MIL,CHA,Regular Season,KXNBAGAME-25NOV14CHAMIL,Charlotte vs Milwaukee,CHA at MIL (Nov 14),
0022500044,2025-11-14,MIN,SAC,Regular Season,KXNBAGAME-25NOV14SACMIN,Sacramento vs Minnesota,SAC at MIN (Nov 14),
0022500045,2025-11-14,NOP,LAL,Regular Season,KXNBAGAME-25NOV14LALNOP,Los Angeles L vs New Orleans,LAL at NOP (Nov 14),
0022500046,2025-11-14,DAL,LAC,Regular Season,KXNBAGAME-25NOV14LACDAL,Los Angeles C vs Dallas,LAC at DAL (Nov 14),
0022500047,2025-11-14,SAS,GSW,Regular Season,KXNBAGAME-25NOV14GSWSAS,Golden State vs San Antonio,GSW at SAS (Nov 14),
0022500228,2025-11-15,CLE,MEM,Regular Season,KXNBAGAME-25NOV15MEMCLE,Memphis vs Cleveland,MEM at CLE (Nov 15),
0022500229,2025-11-15,CHA,OKC,Regular Season,KXNBAGAME-25NOV15OKCCHA,Oklahoma City vs Charlotte,OKC at CHA (Nov 15),
0022500230,2025-11-15,IND,TOR,Regular Season,KXNBAGAME-25NOV15TORIND,Toronto vs Indiana,TOR at IND (Nov 15),
0022500231,2025-11-15,MIL,LAL,Regular Season,KXNBAGAME-25NOV15LALMIL,Los Angeles L vs Milwaukee,LAL at MIL (Nov 15),
